paramID,g,R1ratio,R2ratio,T1,T2,S_01_1,S_01_2,S_00_1,S_00_2,S_11_1,S_11_2,alpha1,theta1,kappa1,mu1,alpha2,theta2,kappa2,mu2
75,0.1287,0,0,0,0,0.61368,0.61368,0.490944,0.490944,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
76,0.1287,0,0,0,0,0.61368,0.16655,0.000561271728,0.00015232663,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
77,0.1287,0,0,0,0,0.61368,0.16655,0.00536785896,0.00145681285,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
78,0.1287,0,0,0,0,0.61368,0.16655,0.051334332,0.0139319075,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
79,0.1287,0,0,0,0,5.895,0.1179,0.0515635649999999,0.0010312713,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
80,0.1287,0,0,0,0,5.895,0.1179,0.49311675,0.009862335,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
81,0.1287,0,0,0,0,5.895,0.1179,4.716,0.09432,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
82,0.1287,0,0,0,0,5.895,0.1179,0.005391567,0.00010783134,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
83,0.0184,0,0,0,0,0.087737,0.087737,8.02442602e-05,8.02442602e-05,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
84,0.0184,0,0,0,0,0.087737,0.087737,0.0007674355389999,0.0007674355389999,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
85,0.0184,0,0,0,0,0.087737,0.087737,0.0073392000499999,0.0073392000499999,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
86,0.0184,0,0,0,0,0.087737,0.087737,0.0701896,0.0701896,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
87,0.0184,0,0,0,0,0.087737,0.023812,8.02442602e-05,2.17784552e-05,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
88,0.0184,0,0,0,0,0.087737,0.023812,0.0007674355389999,0.000208283564,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
89,0.0184,0,0,0,0,0.087737,0.023812,0.0073392000499999,0.0019918738,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
90,0.0184,0,0,0,0,0.087737,0.023812,0.0701896,0.0190496,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
91,0.0184,0,0,0,0,0.8428,0.016856,0.0073719716,0.0001474394319999,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
92,0.0184,0,0,0,0,0.8428,0.016856,0.07050022,0.0014100044,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
93,0.0184,0,0,0,0,0.8428,0.016856,0.6742400000000001,0.0134848,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
94,0.0184,0,0,0,0,0.8428,0.062115,0.0073719716,0.000543319905,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
95,0.0184,0,0,0,0,0.8428,0.062115,0.07050022,0.00519591975,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
96,0.0184,0,0,0,0,0.8428,0.062115,0.6742400000000001,0.049692,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
97,0.0184,0,0,0,0,0.8428,0.22874,0.00077082488,0.000209205604,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
98,0.0184,0,0,0,0,0.8428,0.22874,0.0073719716,0.00200078878,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
99,0.0184,0,0,0,0,0.8428,0.22874,0.07050022,0.019134101,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
100,0.0184,0,0,0,0,0.8428,0.22874,0.6742400000000001,0.182992,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
101,0.0184,0,0,0,0,0.8428,0.016856,0.00077082488,1.54164976e-05,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
102,0.0184,0,0,0,0,0.8428,0.062115,0.00077082488,5.6810379e-05,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
103,0.0184,0,0,0,0,0.8428,0.8428,0.00077082488,0.00077082488,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
104,0.0184,0,0,0,0,0.8428,0.8428,0.0073719716,0.0073719716,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
105,0.0184,0,0,0,0,0.8428,0.8428,0.07050022,0.07050022,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
106,0.0184,0,0,0,0,0.8428,0.8428,0.6742400000000001,0.6742400000000001,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
107,0.0184,0,0,0,0,8.096,0.16192,0.0074046016,0.000148092032,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
108,0.0184,0,0,0,0,8.096,0.16192,0.070815712,0.00141631424,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
109,0.0184,0,0,0,0,8.096,0.16192,0.6772304,0.013544608,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
110,0.0184,0,0,0,0,8.096,0.043718,0.070815712,0.0003824013459999,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
111,0.0184,0,0,0,0,8.096,0.043718,0.6772304,0.0036570107,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
